player_name,clean_name,role,matches,goals,assists,avg_vote
Giovane,giovane,A,33,3.0,6.0,6.0
Zanetti,zanetti,ALL,23,0.0,0.0,5.72
Zappacosta,zappacosta,D,35,3.0,1.0,6.06
Brescianini,brescianini,C,26,2.0,1.0,5.98
Miranda J.,miranda j,D,32,1.0,3.0,6.0
Heggem,heggem,D,27,0.0,0.0,5.85
Moro N.,moro n,C,30,2.0,0.0,5.93
Dallinga,dallinga,A,23,2.0,1.0,5.85
Di Pardo,di pardo,D,3,0.0,0.0,5.83
Palestra,palestra,D,37,1.0,4.0,6.27
Baturina,baturina,C,29,6.0,3.0,6.26
Floriani Mussolini,floriani mussolini,D,28,0.0,1.0,5.77
Vazquez,vazquez,C,15,1.0,2.0,6.13
Kouadio,kouadio,D,3,0.0,0.0,6.0
Dzeko,dzeko,A,11,0.0,0.0,5.73
Piccoli,piccoli,A,32,4.0,1.0,5.81
Ostigard,ostigard,D,30,5.0,0.0,6.13
Malinovskyi,malinovskyi,C,34,3.0,3.0,6.07
Ekuban,ekuban,A,31,4.0,1.0,5.97
Bisseck,bisseck,D,23,3.0,2.0,6.22
Calhanoglu,calhanoglu,C,22,5.0,4.0,6.52
Esposito F.P.,esposito fp,A,35,7.0,3.0,6.23
Kostic,kostic,C,18,3.0,1.0,6.11
Hysaj,hysaj,D,5,0.0,0.0,5.8
Belahyane,belahyane,C,13,0.0,2.0,5.81
Helgason,helgason,C,8,0.0,0.0,5.81
Pierotti,pierotti,C,37,1.0,1.0,5.8
Stulic,stulic,A,34,3.0,0.0,5.76
Musah,musah,C,20,1.0,0.0,5.95
Ricci S.,ricci s,C,31,1.0,3.0,6.0
Balentien,balentien,A,2,0.0,0.0,6.0
Buongiorno,buongiorno,D,33,0.0,1.0,5.89
Ambrosino,ambrosino,A,3,0.0,0.0,5.83
Estevez,estevez,C,31,0.0,1.0,5.85
Oristanio,oristanio,C,20,1.0,0.0,5.8
Cutrone,cutrone,A,15,1.0,0.0,5.73
Mateus Lusuardi,mateus lusuardi,D,3,0.0,0.0,5.83
Leris,leris,C,34,2.0,3.0,5.94
Stengs,stengs,C,4,0.0,0.0,5.88
Celik,celik,D,34,1.0,2.0,6.16
Muric,muric,P,32,0.0,0.0,6.08
Idzes,idzes,D,35,0.0,0.0,5.94
Matic,matic,C,34,1.0,1.0,5.96
Vranckx,vranckx,C,16,0.0,0.0,5.69
Volpato,volpato,C,24,2.0,4.0,6.12
Iannoni,iannoni,C,15,1.0,0.0,6.0
Maripan,maripan,D,27,2.0,0.0,5.94
Ilic,ilic,C,8,0.0,0.0,6.0
Asllani,asllani,C,15,0.0,0.0,5.6
Goglichidze,goglichidze,D,8,0.0,0.0,5.81
Rui Modesto,rui modesto,D,3,0.0,1.0,5.83
Ekkelenkamp,ekkelenkamp,C,31,5.0,3.0,6.05
Buksa,buksa,A,25,3.0,0.0,5.9
Bella-Kotchap,bellakotchap,D,19,0.0,0.0,5.84
Al-Musrati,almusrati,C,18,0.0,1.0,5.78
Bernasconi,bernasconi,D,23,0.0,3.0,6.09
Ferguson,ferguson,C,27,1.0,0.0,5.83
Rowe,rowe,C,28,3.0,3.0,6.2
Zè Pedro,ze pedro,D,23,0.0,1.0,5.78
Felici,felici,C,12,2.0,1.0,6.04
Belotti,belotti,A,8,1.0,0.0,6.06
Addai,addai,A,12,3.0,0.0,5.96
Sarmiento J.,sarmiento j,C,7,0.0,0.0,5.93
Vardy,vardy,A,29,7.0,1.0,5.95
Lamptey,lamptey,D,2,0.0,0.0,6.0
Nicolussi Caviglia,nicolussi caviglia,C,26,0.0,4.0,5.9
Sabelli,sabelli,D,16,0.0,0.0,5.84
Darmian,darmian,D,6,0.0,0.0,6.0
Akanji,akanji,D,33,2.0,0.0,6.27
Cabal,cabal,D,12,2.0,0.0,5.96
Adzic,adzic,C,10,1.0,0.0,6.05
Openda,openda,A,24,1.0,0.0,5.88
Romagnoli,romagnoli,D,32,0.0,0.0,6.03
Isaksen,isaksen,C,30,5.0,1.0,6.03
Siebert,siebert,D,21,1.0,0.0,5.71
Sala A.,sala a,C,9,0.0,1.0,5.89
Terracciano,terracciano,P,2,0.0,0.0,6.0
De Winter,de winter,D,26,1.0,1.0,5.77
Rabiot,rabiot,C,29,6.0,4.0,6.33
Nkunku,nkunku,A,32,2.0,3.0,5.95
Milinkovic-Savic V.,milinkovicsavic v,P,27,0.0,0.0,6.2
Beukema,beukema,D,24,2.0,0.0,5.94
Elmas,elmas,C,33,1.0,3.0,5.83
Hojlund,hojlund,A,33,11.0,5.0,6.21
Ndiaye,ndiaye,D,11,0.0,0.0,5.59
Bonfanti,bonfanti,D,9,0.0,0.0,5.61
Baldanzi,baldanzi,C,18,1.0,2.0,6.14
Pisilli,pisilli,C,25,2.0,4.0,6.08
Coulibaly W.,coulibaly w,D,20,0.0,0.0,5.72
Thorstvedt,thorstvedt,C,32,4.0,3.0,6.14
Cheddira,cheddira,A,33,4.0,1.0,5.86
Ismajli,ismajli,D,25,0.0,2.0,5.92
Zaniolo,zaniolo,C,32,5.0,5.0,6.25
Gagliardini,gagliardini,C,29,1.0,0.0,5.91
Akpa Akpro,akpa akpro,C,22,1.0,0.0,5.86
Orban G.,orban g,A,28,5.0,2.0,5.82
Ahanor,ahanor,D,22,0.0,0.0,5.8
Lookman,lookman,A,12,2.0,0.0,5.83
Dominguez B.,dominguez b,A,15,0.0,3.0,5.87
Goldaniga,goldaniga,D,2,0.0,0.0,6.0
Diego Carlos,diego carlos,D,27,1.0,0.0,6.13
Posch,posch,D,14,1.0,0.0,6.04
Johnsen,johnsen,A,11,1.0,1.0,5.86
Moumbagna,moumbagna,A,5,0.0,0.0,5.6
Fortini,fortini,D,16,0.0,0.0,5.97
Martinez Jo.,martinez jo,P,5,0.0,0.0,6.0
Frattesi,frattesi,C,22,0.0,0.0,5.93
Zhegrova,zhegrova,C,19,0.0,0.0,5.97
Noslin,noslin,A,29,4.0,2.0,6.02
Ndaba,ndaba,D,14,0.0,0.0,5.68
Athekame,athekame,D,27,2.0,2.0,5.96
Lorran,lorran,C,9,1.0,0.0,5.94
Tsimikas,tsimikas,D,18,0.0,0.0,5.81
Pellegrini Lo.,pellegrini lo,C,24,2.0,2.0,6.04
Zapata D.,zapata d,A,28,3.0,1.0,5.86
Zanoli,zanoli,D,19,1.0,2.0,6.05
Miller L.,miller l,C,24,0.0,2.0,5.94
Kastanos,kastanos,C,6,0.0,0.0,6.0
Santiago,santiago,C,2,0.0,0.0,6.0
Ajayi,ajayi,A,1,0.0,0.0,6.0
Holm,holm,D,18,1.0,4.0,6.08
Silvestri,silvestri,P,4,0.0,0.0,6.38
Venturino,venturino,C,12,0.0,0.0,5.92
De Vrij,de vrij,D,11,0.0,0.0,6.09
Patric,patric,D,14,0.0,0.0,5.89
Basic,basic,C,23,2.0,3.0,6.09
Bartesaghi,bartesaghi,D,31,2.0,0.0,5.97
Leao,leao,A,29,7.0,3.0,5.88
Gutierrez,gutierrez,D,28,1.0,1.0,5.98
Marianucci,marianucci,D,12,0.0,1.0,5.75
